carat,cut,color,clarity,depth,table,price,x,y,z,logprice
0.57,Very Good,E,SI1,60.3,58.1,1844,5.36,5.4,3.24,7.519692404116539
0.4,Premium,D,VS2,62.4,60,1050,4.75,4.79,2.93,6.956545443151569
1.34,Ideal,I,IF,60.7,60,7621,7.12,7.06,4.31,8.938662873666118
2.02,Ideal,H,SI1,62.4,56,12332,8.11,8.09,5.03,9.419952789006041
0.9,Premium,H,VS2,62.3,58,3810,6.15,6.2,3.84,8.245384468120747
0.3,Premium,J,VS2,60.6,60,504,4.37,4.39,2.64,6.222576268071369
0.9,Good,F,VS2,63.3,57,4466,6.06,6.12,3.85,8.404248432400102
0.39,Ideal,F,SI1,62.2,54,660,4.63,4.71,2.9,6.492239835020471
0.71,Ideal,G,SI1,61.9,57,2352,5.73,5.67,3.56,7.763021309018518
0.5,Very Good,H,IF,61,62,1440,5.03,5.08,3.09,7.272398392570047
0.53,Ideal,D,VS2,61.2,55,1857,5.21,5.25,3.21,7.526717561352706
0.8,Ideal,E,SI1,62.3,57,3109,5.92,5.94,3.69,8.042056410058754
1.01,Premium,G,SI1,62.5,60,4672,6.39,6.32,3.98,8.449342524508063
0.9,Ideal,G,SI2,62.5,56,3805,6.2,6.23,3.87,8.244071270295786
1.09,Fair,I,SI1,64.4,58,4292,6.48,6.57,4.15,8.36450810375059
1.03,Ideal,G,VS2,60.7,57,7726,6.51,6.53,3.94,8.952346543226227
1.21,Good,H,SI1,64.1,58,6025,6.69,6.61,4.25,8.703672758358856
0.72,Very Good,D,VS1,58.1,61,3420,5.87,5.9,3.46,8.13739583005665
0.27,Very Good,G,VVS1,62.5,54,566,4.14,4.17,2.59,6.338594078203183
0.54,Ideal,E,VS1,61.4,56,1857,5.23,5.24,3.23,7.526717561352706
0.71,Very Good,G,VVS2,62.1,59,2933,5.65,5.71,3.52,7.983781068977451
0.74,Very Good,F,SI2,63.1,56,2328,5.76,5.78,3.64,7.752764808851328
0.45,Very Good,D,VS2,63.4,57,987,4.91,4.86,3.1,6.894670039433482
0.31,Premium,F,VS2,61.2,59,802,4.39,4.36,2.69,6.687108607866515
0.26,Very Good,F,VS2,59.2,58,453,4.14,4.19,2.48,6.115892125483034
0.26,Good,E,VVS2,63.6,54,547,4.02,4.12,2.58,6.304448802421981
0.32,Ideal,G,IF,61.9,53,918,4.42,4.45,2.74,6.822197390620491
0.52,Ideal,E,SI1,61.7,55,1330,5.18,5.18,3.2,7.1929342212158
0.7,Premium,E,VS2,62.5,61,2737,5.72,5.67,3.54,7.914617709040679
0.52,Very Good,E,SI2,61.1,61,1199,5.22,5.21,3.17,7.089243155027514
1.53,Ideal,H,VVS2,60.1,57,12848,7.44,7.44,4.48,9.460943436186543
0.7,Very Good,E,VS2,62.7,60,2657,5.57,5.61,3.53,7.884952945759814
0.36,Ideal,E,VS2,62.8,56,767,4.53,4.55,2.85,6.642486801367256
1.03,Premium,G,VS1,61.8,58,6749,6.47,6.42,3.98,8.817149624743406
0.93,Good,H,VS1,63.6,53,3964,6.21,6.27,3.96,8.285008895449879
0.7,Very Good,E,SI2,60.8,58,2354,5.66,5.7,3.47,7.763871287820222
0.54,Very Good,J,SI1,62.6,58,1037,5.13,5.17,3.25,6.9440872082295275
0.3,Good,H,SI1,63.4,60,461,4.2,4.24,2.67,6.133398042996649
1.15,Very Good,H,VS2,61.1,59,5548,6.68,6.68,4.13,8.621192781434722
1.25,Premium,J,SI1,62,58,5166,6.89,6.87,4.28,8.549853973655786
0.7,Ideal,E,VVS2,62.2,54,3990,5.71,5.84,3.55,8.29154650988391
1.22,Premium,I,SI2,62.3,59,4791,6.86,6.81,4.28,8.474494436883122
1,Very Good,I,SI1,60.4,59,4207,6.44,6.37,3.93,8.344505083590521
1.33,Premium,D,VVS2,62.8,58,14236,7.01,6.97,4.4,9.563529246630083
1.53,Ideal,D,SI1,61.4,58,13329,7.39,7.42,4.54,9.497697391604019
0.61,Very Good,F,SI2,63.2,58,1426,5.4,5.53,3.42,7.262628600974241
0.66,Ideal,H,VS1,62.7,54,2131,5.55,5.55,3.52,7.664346632098617
1.02,Fair,D,SI1,63.5,61,5443,6.3,6.17,4,8.6020856584342
0.91,Ideal,E,SI2,62.6,56,4067,6.17,6.24,3.87,8.310660905907225
0.4,Premium,E,VS1,61.5,59,1125,4.75,4.71,2.93,7.025538314638521
0.82,Good,J,SI1,59.2,58,2033,6.17,6.21,3.61,7.617267813628347
0.31,Ideal,E,VS2,62,56,642,4.33,4.37,2.69,6.464588303689961
0.33,Ideal,I,VVS2,62.7,55,632,4.42,4.47,2.78,6.448889394146858
1,Premium,F,SI1,60.6,60,5292,6.46,6.42,3.91,8.573951525234847
0.52,Ideal,H,SI1,62,56,1206,5.16,5.2,3.21,7.095064377287131
0.52,Ideal,D,VS1,60.9,56,1991,5.17,5.15,3.17,7.596392304064196
1.01,Good,D,SI1,64.1,58,6020,6.24,6.2,4.02,8.702842538302868
0.72,Ideal,I,VS1,62.4,57,2868,5.73,5.76,3.6,7.961370201719511
1.74,Premium,J,SI2,62.2,59,9053,7.62,7.55,4.79,9.11085147347544
1.21,Premium,H,SI2,58.2,59,4408,7.07,7,4.1,8.391176350832751
0.39,Very Good,G,SI1,58.9,62,709,4.79,4.88,2.86,6.5638555265321274
0.31,Ideal,G,IF,61,56,891,4.39,4.45,2.68,6.792344427470809
0.32,Premium,I,IF,61.8,59,864,4.39,4.36,2.71,6.761572768804055
0.33,Ideal,F,VS2,62.1,55,854,4.45,4.38,2.77,6.74993119378857
1.21,Very Good,F,VS2,63.5,55,7154,6.77,6.71,4.3,8.875426919818963
0.7,Ideal,G,SI1,62,56,2480,5.63,5.66,3.52,7.8160138391590275
0.71,Good,F,SI1,63.9,54,2308,5.57,5.66,3.58,7.744136627627991
0.3,Ideal,D,VS2,62.5,54,911,4.31,4.32,2.7,6.814542897259958
1.01,Ideal,H,SI1,61.9,56,4886,6.38,6.43,3.97,8.494129251817686
0.25,Very Good,H,VVS2,62.4,56,486,4.06,4.09,2.53,6.186208623900494
1.13,Premium,H,VS2,60.6,58,6202,6.78,6.72,4.1,8.732627099660395
0.7,Premium,I,VVS1,59.1,60,2513,5.86,5.79,3.45,7.829232537543592
0.7,Very Good,F,VS2,62.3,57,2559,5.63,5.69,3.53,7.847371836159788
1.54,Very Good,H,SI1,61.6,54,10502,7.36,7.39,4.61,9.259320994197804
0.32,Premium,H,VS1,61.3,60,720,4.37,4.34,2.68,6.579251212010101
1.13,Premium,I,SI1,62.8,61,4766,6.58,6.6,4.15,8.469262657658687
0.73,Premium,I,VS1,61.3,59,2393,5.83,5.84,3.56,7.780303087908373
1.01,Premium,G,I1,59.2,57,2264,6.51,6.45,3.79,7.724888439323074
0.56,Good,F,VS1,61.7,62,1712,5.3,5.34,3.22,7.445417556701687
1.52,Fair,H,SI1,65.3,58,7509,7.16,7.09,4.67,8.9238575800998845
0.41,Ideal,E,VS2,62.2,54,935,4.75,4.78,2.96,6.840546529288687
0.53,Very Good,F,SI2,61.2,60,1013,5.18,5.21,3.19,6.920671504248683
2.01,Good,H,I1,62.2,61,7294,7.99,8.08,4.91,8.894807371368625
0.4,Good,F,SI1,63.6,57,882,4.7,4.66,2.97,6.782192056006791
0.72,Ideal,J,SI1,62.7,56,2154,5.71,5.69,3.58,7.675081857716334
1.14,Ideal,H,I1,61.1,56,3669,6.75,6.69,4.13,8.207674424355282
0.5,Ideal,F,SI2,60.9,57,1156,5.16,5.14,3.13,7.052721049232323
0.3,Ideal,F,IF,62.6,55,886,4.27,4.31,2.69,6.786716950605081
0.24,Very Good,F,VVS2,62.2,59,552,3.98,4,2.49,6.313548046277095
0.3,Premium,F,VS2,61.4,58,673,4.29,4.33,2.63,6.511745329644728
0.37,Premium,E,VVS2,60.9,59,1082,4.66,4.61,2.82,6.9865664594064265
0.73,Ideal,D,VS2,61.5,56.5,4134,5.77,5.82,3.56,8.327000740241713
0.51,Very Good,E,VS2,63.6,59,1641,4.99,5.03,3.19,7.403061091090091
0.38,Premium,I,VS1,61.4,59,898,4.73,4.65,2.89,6.8001700683022
1.01,Good,G,SI1,63.9,54,4467,6.32,6.37,4.05,8.404472321352118
0.88,Very Good,F,SI2,62.9,58,2661,6.01,6.03,3.84,7.886457270977689
0.31,Very Good,G,SI2,61.7,55,421,4.33,4.37,2.69,6.042632833682381
0.72,Premium,J,SI1,61.5,58,1666,5.75,5.72,3.5,7.418180822726788
0.3,Ideal,H,VVS2,61.5,56,776,4.35,4.33,2.67,6.654152520183219
0.72,Fair,G,I1,68.3,56,1166,5.51,5.44,3.71,7.061334366910438
1.02,Good,D,SI2,63.8,59,4250,6.41,6.33,4.08,8.354674261918463
0.51,Ideal,E,VS2,60.9,56,1413,5.2,5.22,3.15,7.253470382684528
1.06,Ideal,E,SI1,59.6,55,6316,6.73,6.64,3.99,8.750841375375533
0.81,Ideal,I,VS2,62.4,57,2444,5.98,6.02,3.72,7.8013913202914855
0.64,Ideal,E,SI1,62.3,56,1932,5.52,5.49,3.46,7.566311014772463
0.97,Premium,H,SI2,59.6,59,3690,6.39,6.37,3.85,8.213381737034572
0.61,Good,E,SI2,59,62,3807,5.52,5.43,3.26,8.244596756382498
0.71,Fair,F,SI1,56.9,69,2058,5.91,5.92,3.32,7.629489916393995
1.01,Very Good,F,VS1,62.5,58,7504,6.39,6.36,4.01,8.92319149068606
0.9,Good,H,VS2,61.9,62,4201,6.11,6.14,3.8,8.343077871169383
0.83,Ideal,H,SI2,60.7,57,2344,6.11,6.04,3.7,7.759614150696903
1.54,Very Good,G,IF,59.4,61,15225,7.5,7.63,4.45,9.630694092578098
1.3,Premium,D,SI2,59.4,61,6152,7.11,7.04,4.19,8.72453251118548
0.57,Ideal,E,SI1,61.9,56,1649,5.38,5.31,3.3,7.407924322559599
0.72,Very Good,E,VVS2,61.3,57,3719,5.75,5.79,3.53,8.22121009392507
0.74,Very Good,H,VS1,60.6,63,2468,5.85,5.81,3.55,7.811163385025279
2.09,Good,I,SI2,57.2,62,11190,8.35,8.4,4.91,9.322775801305971
0.33,Ideal,D,VS1,62.6,57,781,4.41,4.38,2.75,6.660575149839686
0.41,Very Good,I,VS1,60.8,62,755,4.78,4.8,2.9,6.626717749249025
1.01,Good,H,SI1,60.3,64,4449,6.5,6.54,3.89,8.400434630806041
1.71,Very Good,J,VS2,60.7,60,9901,7.71,7.78,4.68,9.200391041122515
0.34,Ideal,E,SI2,62,56,612,4.43,4.48,2.77,6.416732282512326
1.01,Good,G,VS1,63.7,56,6618,6.37,6.31,4.05,8.797548488481558
0.57,Premium,D,IF,61.7,60,4440,5.3,5.35,3.28,8.39840965542627
0.37,Ideal,G,VS2,61.5,55,649,4.65,4.64,2.86,6.47543271670409
1.07,Ideal,F,SI1,62.7,55,5982,6.53,6.53,4.09,8.696510239189893
0.92,Very Good,G,SI1,59.4,63,3710,6.33,6.26,3.76,8.21878715560148
1.63,Ideal,H,SI1,61.3,56,10216,7.62,7.55,4.65,9.231710397712375
0.33,Premium,D,SI1,60.1,59,608,4.45,4.47,2.68,6.410174881966167
0.52,Ideal,E,VVS1,62.1,55,2524,5.12,5.15,3.19,7.8336002236611035
0.51,Very Good,F,VVS2,62,59,1882,5.08,5.09,3.17,7.540090320145325
0.58,Very Good,J,SI1,62.4,58,1228,5.31,5.34,3.33,7.113142108707088
0.32,Ideal,E,VS2,61.7,55,702,4.4,4.43,2.72,6.553933404025811
0.43,Premium,F,SI2,59,58,898,4.88,4.9,2.93,6.8001700683022
0.42,Ideal,G,VVS1,61.9,56,1143,4.81,4.84,2.97,7.04141166379481
0.32,Good,E,SI1,63.1,56,544,4.38,4.4,2.77,6.298949246855942
1.02,Ideal,E,SI2,61.6,56,4968,6.5,6.5,3.98,8.510772623613315
0.32,Ideal,F,IF,61.3,57,929,4.4,4.43,2.69,6.834108738813838
0.72,Very Good,G,SI1,62.8,56,2468,5.66,5.72,3.58,7.811163385025279
0.42,Ideal,G,VS1,61.4,55,827,4.83,4.83,2.97,6.717804695023691
0.25,Premium,E,VVS2,62,58,740,4.12,4.12,2.53,6.606650186198215
0.7,Very Good,G,VS1,59.2,56,2748,5.87,5.74,3.46,7.91862865334224
2.2,Very Good,I,SI1,58.7,62,14662,8.63,8.58,5.01,9.593014391783532
0.74,Ideal,D,VS2,61.1,55,3464,5.84,5.84,3.59,8.150179269682326
1.21,Good,G,SI2,63.7,62,4181,6.79,6.75,4.32,8.338305731356565
1.01,Premium,E,SI2,62.5,60,4666,6.34,6.4,3.98,8.448057452581375
1.24,Very Good,I,VS1,62.1,62,5940,6.92,6.87,4.28,8.68946441235669
0.41,Very Good,F,IF,61.1,55,1259,4.82,4.85,2.94,7.138073034044347
0.5,Fair,G,VS2,67.1,58,1323,4.98,4.89,3.35,7.187657164114956
0.46,Ideal,I,VS2,62.1,56,997,4.95,4.96,3.08,6.904750769961838
0.78,Ideal,F,SI2,60.6,55,2431,5.98,5.96,3.63,7.796057974316123
0.57,Premium,E,VS2,61.9,60,1949,5.29,5.31,3.28,7.575071699507561
1.51,Premium,G,SI1,60.6,60,10267,7.5,7.44,4.49,9.236690147298965
1.01,Very Good,D,I1,62.9,58,2291,6.35,6.38,4.01,7.736743682453495
0.36,Premium,E,SI2,58.5,57,608,4.62,4.59,2.77,6.410174881966167
2.01,Very Good,G,SI1,63.1,55,18507,7.97,7.92,5.07,9.825904317877749
2.71,Ideal,G,SI2,62.7,57,14659,8.88,8.74,5.47,9.59280976029003
0.7,Premium,F,VS1,60.8,60,2669,5.64,5.61,3.47,7.889459149404524
1.12,Premium,H,SI1,62,58,5780,6.71,6.65,4.16,8.662158961666423
1.15,Ideal,I,VS2,62.2,58,5075,6.75,6.63,4.18,8.532081803909987
0.71,Ideal,E,VS2,62,57,3247,5.73,5.76,3.55,8.085486772102845
0.31,Ideal,H,VVS1,61.8,54.2,708,4.35,4.36,2.68,6.56244409369372
1.05,Very Good,F,SI1,62.3,56,5557,6.49,6.53,4.04,8.622813673279921
1.5,Good,D,SI1,63.4,56,9293,7.24,7.3,4.59,9.13701670755734
0.5,Very Good,G,SI1,62.9,59,1286,5.03,5.07,3.16,7.1592919047975645
0.53,Very Good,G,VS1,60.9,56,1655,5.24,5.27,3.2,7.411556287811163
1.24,Premium,D,SI1,59.3,61,8079,7.13,7.06,4.18,8.997023381479709
1.05,Very Good,E,SI2,61.6,61,4472,6.48,6.55,4,8.405591014834934
0.9,Premium,I,SI1,59.6,60,3190,6.37,6.22,3.76,8.06777619577889
0.26,Premium,F,VVS1,59.8,60,752,4.15,4.18,2.5,6.62273632394984
0.38,Ideal,H,VVS2,61.4,58,833,4.71,4.68,2.88,6.725033642166843
0.39,Premium,G,VS2,60.4,59,951,4.72,4.68,2.86,6.85751406254539
1.22,Premium,I,SI1,62.3,58,6398,6.82,6.86,4.24,8.763740720509464
0.5,Ideal,E,VS2,62.1,54,1746,5.09,5.14,3.17,7.465082736399547
0.51,Premium,D,SI1,61.6,58,1569,5.14,5.15,3.15,7.358193752733032
2.06,Very Good,I,SI1,62.2,57,14775,8.22,8.16,5.08,9.6006918422743
1,Fair,E,SI2,66.6,59,2974,6.21,6.14,4.1,7.9976631270201
0.31,Ideal,D,VS2,61.6,54,942,4.36,4.34,2.69,6.848005274576363
1.51,Ideal,G,VVS1,61.4,57,17329,7.46,7.44,4.5,9.760136677640245
1.4,Premium,H,SI2,61.9,58,7213,7.21,7.12,4.48,8.883640232503673
1.52,Very Good,F,VS1,63.2,60,15966,7.28,7.3,4.61,9.678216740205745
0.4,Premium,H,SI1,59.1,60,876,4.83,4.81,2.84,6.775366090936392
1.5,Premium,E,VS1,60.3,58,16023,7.5,7.46,4.49,9.68178046900788
0.9,Good,G,VS1,63.2,58,4540,6.12,6.18,3.88,8.420682291035394
1.2,Fair,I,I1,66.7,57,2376,6.57,6.5,4.35,7.773173680482536
1.1,Premium,D,SI2,62.8,58,4520,6.6,6.55,4.14,8.416267272826277
0.83,Premium,G,SI2,61.9,58,2515,6.04,5.96,3.74,7.83002808253384
0.5,Premium,E,SI1,60.2,60,1562,5.11,5.13,3.07,7.3537223303996315
0.4,Ideal,J,VS1,62.1,53,633,4.75,4.8,2.95,6.450470422144176
2.46,Ideal,E,SI2,62,55,17049,8.63,8.6,5.27,9.74384682996523
3.04,Ideal,J,I1,64.6,58,16538,8.99,8.93,5.79,9.713416042282113
0.4,Premium,G,VS1,60,58,961,4.81,4.82,2.88,6.8679744089702925
0.35,Premium,F,VS2,60.9,60,957,4.56,4.53,2.77,6.863803391452954
0.7,Very Good,G,VS2,63.4,57,2338,5.68,5.66,3.59,7.757051142032013
0.56,Ideal,E,VS2,61.4,56,1915,5.31,5.35,3.27,7.557472901614746
1.04,Premium,G,SI2,62.8,59,4618,6.48,6.41,4.04,8.43771698991444
0.41,Good,F,SI1,63.7,56,705,4.67,4.73,2.99,6.558197802812269
0.9,Very Good,F,SI2,62,58,3569,6.15,6.2,3.83,8.18004072349016
0.76,Very Good,E,VS2,60.4,63,2999,5.94,5.98,3.56,8.00603417874901
0.3,Premium,G,VVS1,59.8,59,737,4.33,4.35,2.59,6.602587892189336
0.36,Good,G,SI1,63.4,58,537,4.52,4.53,2.86,6.285998094508865
0.78,Premium,I,SI2,60.6,58,2346,5.97,6.05,3.61,7.76046702921342
2.02,Very Good,J,SI1,59.8,60,11746,8.32,8.23,4.93,9.371268036082466
1.16,Premium,H,SI2,62.7,57,5190,6.7,6.63,4.2,8.554488976159934
1.07,Ideal,E,SI2,62.2,56,4303,6.55,6.6,4.06,8.3670677328386
0.34,Very Good,E,VVS1,63.2,56,1014,4.45,4.52,2.8,6.921658184151129
0.31,Ideal,F,IF,61.4,55,914,4.39,4.42,2.7,6.81783057145415
0.3,Ideal,G,IF,63,57,863,4.26,4.21,2.68,6.760414691083428
2.01,Fair,G,VS2,58.5,64,17930,8.24,8.25,4.84,9.794230566599179
0.3,Ideal,D,VS2,60.9,57,778,4.34,4.3,2.65,6.656726524178391
0.4,Ideal,F,VVS1,61.7,55,1323,4.76,4.78,2.93,7.187657164114956
0.51,Ideal,H,VS1,62.7,54,1410,5.13,5.09,3.21,7.251344983372214
1.08,Premium,I,SI1,58.4,60,4276,6.71,6.65,3.99,8.360773272144936
0.9,Very Good,D,SI1,64.2,59,3391,6.08,6.11,3.88,8.128880142125638
1.24,Premium,G,VS1,62,58,7800,6.86,6.84,4.27,8.961879012677683
1.61,Ideal,F,SI1,62.5,56,11437,7.56,7.54,4.7,9.344608992781216
0.9,Premium,F,SI2,60.1,61,3630,6.24,6.2,3.72,8.196987927258897
0.8,Premium,F,VS2,61.8,58,3393,5.96,5.92,3.68,8.129469764784231
0.31,Ideal,E,VVS2,61.7,54,779,4.36,4.39,2.69,6.658011045870748
1.01,Premium,G,SI2,61.9,59,4327,6.39,6.37,3.94,8.372629740224884
0.92,Good,I,VS2,62.3,65,3215,6.14,6.18,3.88,8.07558263667172
0.67,Good,G,VS1,60,60.3,2241,5.71,5.8,3.41,7.714677473800927
0.72,Premium,F,VS2,61.4,58,2803,5.76,5.78,3.54,7.938445551164788
1.2,Premium,G,SI2,62.8,59,4368,6.7,6.68,4.19,8.38206051742474
1.29,Premium,I,VS2,62.1,57,6762,7,6.84,4.33,8.819073983267831
1.57,Premium,D,VS1,62.6,59,16793,7.41,7.36,4.63,9.728717411895008
1.5,Premium,E,VVS2,59.8,58,16613,7.48,7.47,4.51,9.71794080038648
0.23,Very Good,E,VVS2,61.4,62,485,3.92,3.94,2.4,6.184148890937483
0.91,Ideal,H,VS1,62,57,5013,6.18,6.22,3.86,8.519789817263504
1.2,Premium,G,SI1,63,61,6451,6.74,6.65,4.21,8.771990436532242
1.01,Ideal,J,VS2,61.3,57,4602,6.45,6.46,3.96,8.434246270595311
1.51,Very Good,J,I1,63.5,61,4600,7.22,7.26,4.57,8.433811582477187
0.34,Good,G,VS1,63.1,57,605,4.44,4.48,2.81,6.405228458030842
0.31,Good,H,VS2,63.5,59,505,4.24,4.19,2.71,6.22455842927536
0.31,Premium,F,VS2,62.7,59,625,4.27,4.22,2.7,6.437751649736401
0.61,Very Good,F,VS2,59,59,1940,5.44,5.5,3.23,7.570443252057374
1.21,Very Good,E,I1,62.9,57,3871,6.72,6.79,4.23,8.261268150577648
1,Premium,F,VS2,61.9,59,5505,6.37,6.34,3.93,8.61341204915678
0.3,Ideal,D,SI2,61.1,56,612,4.36,4.33,2.66,6.416732282512326
1.63,Premium,F,SI1,59.3,59,11733,7.77,7.69,4.55,9.370160663423624
1,Premium,F,VS1,61.3,57,7056,6.39,6.43,3.92,8.861633597686627
0.34,Ideal,F,VVS2,59.1,58,839,4.55,4.51,2.71,6.732210706467206
0.42,Ideal,H,VS1,62,57,773,4.77,4.81,3,6.650279048587422
0.7,Fair,H,SI1,65,56,2048,5.49,5.53,3.59,7.6246189861593985
1.05,Premium,G,SI2,60.7,60,4160,6.52,6.58,3.98,8.333270353255308
1.22,Premium,E,SI1,62.2,59,6653,6.89,6.85,4.25,8.802823159741887
0.4,Premium,F,VS2,60.7,60,975,4.77,4.74,2.91,6.882437470997847
0.33,Ideal,H,VS1,61.4,55.2,743,4.48,4.5,2.74,6.610696044717759
1.01,Good,E,SI2,63.7,57,4719,6.36,6.33,4.06,8.459352191726387
1.59,Premium,I,VS1,61.1,59,11021,7.47,7.46,4.53,9.307557822691543
0.39,Premium,G,SI2,62.6,58,597,4.66,4.7,2.93,6.391917113392602
1.01,Good,D,SI2,64,62,4250,6.31,6.36,4.04,8.354674261918463
0.3,Ideal,G,VS2,61.8,55,526,4.31,4.33,2.67,6.26530121273771
1.02,Very Good,D,SI1,63.2,61,5872,6.35,6.25,4.02,8.677950570294351
0.77,Very Good,H,SI1,61.4,57,2663,5.92,5.97,3.63,7.887208585813932
0.71,Good,G,VS2,63.5,58,2137,5.63,5.6,3.6,7.667158255319148
0.33,Very Good,J,IF,59,62,684,4.51,4.46,2.67,6.52795791762255
1.28,Premium,J,VS2,61.7,60,5068,7.07,7.08,4.3,8.53070154144103
1,Premium,E,SI1,61.6,62,4719,6.35,6.33,3.93,8.459352191726387
0.7,Very Good,E,SI2,60.1,60,2463,5.7,5.76,3.45,7.809135398120538
0.81,Ideal,F,VS1,62.3,54,4070,5.98,5.94,3.73,8.311398278436641
2,Premium,I,SI2,60.9,59,13398,8.13,8.1,4.95,9.502860721068213
0.5,Premium,D,SI1,62.5,62,1279,5.07,5.01,3.17,7.153833801578843
0.92,Good,I,SI1,62.3,58,3407,6.17,6.13,3.84,8.133587417660966
0.31,Ideal,G,VS2,61.7,56,544,4.38,4.4,2.7,6.298949246855942
0.3,Ideal,E,VVS1,62.3,55,826,4.29,4.33,2.68,6.716594773520978
1.25,Ideal,F,VS2,62.2,57,9999,6.9,6.9,4.31,9.21024036697585
0.34,Ideal,D,VS1,60.7,57,805,4.54,4.54,2.74,6.690842277418564
0.71,Very Good,E,VS2,59.9,63,2954,5.76,5.79,3.45,7.9909154630913255
0.51,Ideal,H,SI1,59.9,59,1268,5.25,5.27,3.1,7.145196134997171
1.01,Premium,H,SI1,62.6,60,4513,6.39,6.35,3.99,8.414717399827001
1.02,Premium,D,SI1,62.7,58,6158,6.41,6.37,4.01,8.725507328484445
0.69,Ideal,G,SI1,62.9,57,1946,5.71,5.7,3.58,7.57353126274595
1.13,Ideal,G,VVS2,60.7,57,9013,6.74,6.78,4.09,9.10642325855641
0.3,Ideal,E,VS1,61.8,56,670,4.27,4.29,2.64,6.507277712385012
1.54,Fair,F,SI1,56.1,58,9120,7.52,7.57,4.4,9.118225083068378
1.61,Ideal,F,VS1,61.5,55,17414,7.57,7.63,4.64,9.765029759388561
0.31,Ideal,G,SI2,60.5,57,408,4.39,4.42,2.66,6.0112671744041615
0.33,Premium,H,VS2,60.4,60,689,4.52,4.46,2.73,6.535241271013659
0.62,Ideal,H,SI1,61.4,56,1433,5.47,5.53,3.37,7.267525427828172
0.4,Premium,H,VVS2,60.6,59,921,4.72,4.78,2.87,6.825460036255307
0.76,Ideal,F,SI1,62.6,56,2700,5.86,5.91,3.65,7.90100705199242
0.32,Premium,I,VS1,61.3,58,648,4.39,4.37,2.68,6.473890696352274
0.74,Very Good,E,SI2,63.1,57,2376,5.78,5.7,3.62,7.773173680482536
0.7,Very Good,F,VVS2,63.2,57,3018,5.66,5.64,3.55,8.012349639327795
0.91,Very Good,E,VS2,58.4,57,4678,6.32,6.37,3.7,8.450625947144124
0.81,Ideal,G,SI2,61.6,56,2484,5.97,5.93,3.71,7.81762544305337
0.32,Ideal,G,VS1,61.2,56,828,4.46,4.36,2.71,6.71901315438526
0.3,Very Good,E,VS1,63.6,55,640,4.2,4.22,2.7,6.461468176353717
0.32,Ideal,E,SI1,61.8,55,640,4.42,4.41,2.73,6.461468176353717
0.3,Ideal,E,VS1,62.1,58,621,4.27,4.3,2.66,6.431331081933479
2.35,Premium,H,SI2,61.1,57,14146,8.64,8.57,5.25,9.557187177595935
0.42,Premium,H,VS1,62,58,984,4.82,4.79,2.98,6.891625897052253
0.34,Very Good,H,IF,61.7,58,787,4.48,4.51,2.75,6.668228248417403
0.93,Good,E,SI1,63.4,57,3649,6.19,6.29,3.96,8.202208436436448
1.5,Very Good,E,SI2,62.7,57,8631,7.3,7.32,4.59,9.063115652219658
0.43,Ideal,G,SI1,61.1,55,891,4.87,4.91,2.99,6.792344427470809
0.5,Fair,D,SI2,65.1,57,1077,4.93,4.82,3.23,6.981934677156389
1,Premium,I,SI2,61.6,59,3881,6.4,6.33,3.93,8.263848131368906
0.31,Premium,H,VVS2,61.4,58,625,4.35,4.32,2.66,6.437751649736401
0.4,Ideal,D,SI1,61.8,55,990,4.74,4.71,2.92,6.897704943128636
1.23,Very Good,F,SI2,61.7,59,5699,6.87,6.8,4.23,8.648045999835
0.7,Premium,F,VVS2,62.5,59,2940,5.68,5.64,3.55,7.986164860332727
0.31,Good,G,VS1,63.2,58,645,4.26,4.24,2.71,6.4692503167957724
0.29,Ideal,E,VS1,60.2,57,577,4.29,4.35,2.6,6.3578422665081
0.27,Ideal,G,VVS2,61.6,56,646,4.17,4.14,2.56,6.470799503782602
1.34,Very Good,G,VS2,61.4,63,8818,7.09,7,4.35,9.084550365917883
1.15,Very Good,H,VS2,62.4,58,5625,6.67,6.6,4.18,8.63497622707262
0.4,Ideal,E,VS1,62.1,55,1125,4.76,4.72,2.95,7.025538314638521
1,Premium,J,VVS2,61.3,60,4693,6.41,6.48,3.94,8.453827315794417
0.38,Ideal,F,VVS2,62,54,1097,4.66,4.69,2.89,7.00033446027523
0.9,Ideal,G,SI2,62.3,56,3805,6.19,6.23,3.83,8.244071270295786
1.28,Ideal,D,I1,61.3,55,5158,6.97,6.92,4.29,8.54830418644129
0.7,Premium,G,SI2,61.1,57,2208,5.71,5.79,3.51,7.699842407396986
0.58,Ideal,G,VVS2,61.8,56,2336,5.35,5.4,3.33,7.756195343948118
0.38,Ideal,D,VS2,60.7,57,998,4.66,4.72,2.85,6.905753276311464
0.5,Ideal,H,VS1,61.1,57,1598,5.1,5.07,3.13,7.37650812632622
0.83,Ideal,G,SI2,61.8,53,2915,6.08,5.98,3.74,7.977625098784593
0.3,Very Good,G,VVS1,62.1,58,761,4.26,4.3,2.65,6.634633357861686
0.3,Very Good,I,SI2,62.5,56,367,4.27,4.3,2.68,5.905361848054571
0.37,Ideal,D,SI1,62.5,56,874,4.61,4.58,2.88,6.773080375655535
0.38,Ideal,E,VVS1,61.3,56,1154,4.67,4.72,2.88,7.050989447068045
0.81,Good,I,VS1,63.4,57,2655,5.9,5.89,3.74,7.884199933676039
0.55,Ideal,F,VVS2,61.5,57,2281,5.26,5.29,3.24,7.732369222284388
